Glen Cairn,0.0
Corkstown,6.562555171509191
Entrance,7.856066717581781
Michèle,9.670378466098164
Britannia,10.00591204477462
Ruth Wildgen,10.478709759295832
Frank Ryan,11.225117975964768
Lisa,11.553294063879257
Parkway,13.031202421620575
Woodroffe,13.70842893347478
McKellar,14.396253840630783
Kingsmere,15.053064307194132
Bel Air,15.256746031043932
Agincourt,16.233387743378
Westboro,16.902030811827107
Lions,17.196116550696388
Champlain,18.05898436730983
Iona,18.486555513619077
Raven,18.977466257561886
Bellevue Manor,19.18715086238003
Crestview,19.9566270722786
Hampton,21.13655237134286
Alexander,21.909207982744284
Parkdale,22.507165661566873
Meadowvale,23.38402914607128
Reid,23.936108742690102
Chaudiere,25.132450024259256
Ev Tremblay,25.500331314703054
Rideauview,26.511830088620115
Carleton Heights,27.0306575634777
McNabb,28.38573685319065
Bingham,29.420878536031065
St. Luke's,30.51806519096099
Sylvia Holden,31.151780826340335
Heron,31.98848903758626
Pauline Vanier,32.350469610606226
Windsor,33.11896160108911
Brantwood,33.69526666747616
Alta Vista,34.55550079861669
Owl,35.36523155653514
Frank Licari,36.31067930310607
Pushman,37.32559940957035
Greenboro,38.64240287564603
Canterbury,39.75606838381223
Weston,40.10479100814876
Alda Burt,40.29878244547893
Elizabeth Manley,41.44229279959209
Hawthorne,42.200382282602526
Bearbrook,48.11787783656381
Jules Morin,61.22458201262486
Sandy Hill,61.845593757281975
Strathcona,62.33390181861984
Optimiste,62.940908371475146
Dutchie's Hole,63.533144219133426
Overbrook,64.75947168777941
Kiwanis,65.30466717798765
Alvin Heights,65.77738828872289
St-Laurent,66.27964161288341
St. Paul's,66.4580734480378
Cecil Morrison,66.88484288895444
Balena,67.32530952063127
General Burns,76.04140773556382
